"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1997603598096851348","Sun Dec 07 12:01:06 +0000 2025","1","@kompascom Bahlil bahlil cepet bacotnya mulu","1997637489347928201","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997637489347928201","2917116386",
"1997603598096851348","Mon Dec 08 02:08:58 +0000 2025","0","@kompascom Silat lidah","1997850863772258540","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997850863772258540","1774615507725144064",
"1997603598096851348","Sun Dec 07 12:12:56 +0000 2025","1","@kompascom Jawaban bahlul itu yg 3%","1997640467081576523","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997640467081576523","446967810",
"1997603598096851348","Sun Dec 07 14:26:25 +0000 2025","0","@kompascom Seorang PEMBOHONG tetaplah PEMBOHONG 🇮🇩🇮🇩","1997674059321278481","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997674059321278481","774524040",
"1997603598096851348","Sun Dec 07 23:00:26 +0000 2025","0","@kompascom Bahlil bahlul ...","1997803418153558046","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997803418153558046","970021670",
"1997603598096851348","Sun Dec 07 14:27:08 +0000 2025","0","@kompascom Omon-omon","1997674241643479255","","kompascom","en","","0","0","0","https://x.com/undefined/status/1997674241643479255","1969060576111599616",
"1997603598096851348","Mon Dec 08 00:06:04 +0000 2025","0","@kompascom Bahlil koq dipercaya","1997819932961349741","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997819932961349741","1148928890980589568",
"1997603598096851348","Sun Dec 07 11:43:19 +0000 2025","0","@kompascom Pemain dia ini...","1997633015246205189","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997633015246205189","1610629248812974082",
"1997603598096851348","Sun Dec 07 23:54:11 +0000 2025","0","@kompascom @prabowo @setkabgoid","1997816941734687072","","kompascom","qam","","0","0","0","https://x.com/undefined/status/1997816941734687072","1972310657505910784",
"1997603598096851348","Sun Dec 07 19:42:01 +0000 2025","0","@kompascom @hrdbacot Baca ndut @prabowo","1997753484104634436","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997753484104634436","1019987068397617152",
"1997603598096851348","Sun Dec 07 13:18:04 +0000 2025","0","@kompascom Bajingan tolol","1997656858736173278","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997656858736173278","4496544881",
"1997603598096851348","Sun Dec 07 20:51:22 +0000 2025","0","@kompascom @bahlil pembohong","1997770937442418787","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997770937442418787","1734575694188105728",
"1997603598096851348","Sun Dec 07 12:10:55 +0000 2025","0","@kompascom Lil ngibul Mulu @bahlillahadalia","1997639961810546829","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997639961810546829","1329286049030307843",
"1997603598096851348","Sun Dec 07 11:26:15 +0000 2025","0","@kompascom Bohong terus @bahlillahadalia","1997628721147097130","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997628721147097130","164370154",
"1997603598096851348","Sun Dec 07 18:27:29 +0000 2025","0","@kompascom Berarti rumah kau bagian dari 3% nya","1997734728074752339","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997734728074752339","2293604340",
"1997603598096851348","Sun Dec 07 11:52:07 +0000 2025","0","@kompascom El klaim","1997635227028525420","","kompascom","hi","","0","0","0","https://x.com/undefined/status/1997635227028525420","844486463844564992",
"1997603598096851348","Sun Dec 07 10:48:12 +0000 2025","0","@kompascom bahlil Asu","1997619142493622341","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997619142493622341","1603582456891707393",
"1997603598096851348","Sun Dec 07 14:40:08 +0000 2025","0","@kompascom @bahlillahadalia TOLOL LU","1997677513485746616","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997677513485746616","1798283687676846081",
"1997603598096851348","Sun Dec 07 16:22:08 +0000 2025","0","@kompascom Aowkwkwkk ","1997703182726885741","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997703182726885741","359789883",
"1997603598096851348","Sun Dec 07 15:55:09 +0000 2025","0","@kompascom Membohongi rkyt publik itu pantang bagi seorang pemimpin pjbt publik. Sekali lagi....pantang bicara bohong.","1997696391003738280","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997696391003738280","1779877120262766592",
"1997603598096851348","Sun Dec 07 13:59:28 +0000 2025","1","@kompascom BAHLUL kena virus mulyono","1997667277295026346","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997667277295026346","1799795344169181184",
"1997603598096851348","Sun Dec 07 14:38:41 +0000 2025","1","@kompascom Mr. President @prabowo apakah anda senang di kibulin Mentri mu @bahlillahadalia ","1997677145154605285","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997677145154605285","1996064458867965956",
"1997603598096851348","Sun Dec 07 11:32:28 +0000 2025","1","@kompascom Maklum aja monyet saya juga suka halu","1997630283462430890","","kompascom","in","","0","0","0","https://x.com/undefined/status/1997630283462430890","1623302886875860993",
